Métricas globales:
Umbral óptimo: 0.001021
F1-Score: 0.71
AUC-ROC: 0.52

Resultados para imágenes reales:
imagenes_512/RealArt/Land-Animals-Featured-841x1024.jpg: 0.003745
imagenes_512/RealArt/taxture-scenery-poster-500x500.jpg: 0.010482
imagenes_512/RealArt/large-beautiful-print-of-village-scenery-waterproof-texture-original-imafzgbuhjehkgfe.jpg: 0.008271
imagenes_512/RealArt/91NKwoumEpL._AC_UF8941000_QL80_.jpg: 0.025336
imagenes_512/RealArt/dog.jpg: 0.001211
imagenes_512/RealArt/silver-la-pastiche-art-paintings-ps8151-fr-20430620x24-64_600.jpg: 0.004089
imagenes_512/RealArt/images16.jpg: 0.004554
imagenes_512/RealArt/beautiful-scenery-tree-sea-sunset-hd-wallpaper-3842-1920x1080.jpg: 0.006514
imagenes_512/RealArt/People_Magazine_cover.jpg: 0.006371
imagenes_512/RealArt/julien.jpg: 0.001824
imagenes_512/RealArt/arash-zia-artw3.jpg: 0.001748
imagenes_512/RealArt/5-Types-of-People-e1640865120273.jpg: 0.005846
imagenes_512/RealArt/0ogZjy9KvWg2elv-I.jpg: 0.004264
imagenes_512/RealArt/beautiful-nature-mountain-scenery-with-flowers-free-photo.jpg: 0.003237
imagenes_512/RealArt/fw-fox-squirrel.jpg: 0.003762
imagenes_512/RealArt/1010172.jpg: 0.001381
imagenes_512/RealArt/mountainpygmypossum_science_BCDJ6K.jpg: 0.002446
imagenes_512/RealArt/images15.jpg: 0.003438
imagenes_512/RealArt/17042020_beautiful-scenery.jpg: 0.002735
imagenes_512/RealArt/scenery-4nho1u78dzvt1meo.jpg: 0.004583
imagenes_512/RealArt/3-19-9-25-15-39-55m.jpg: 0.004362
imagenes_512/RealArt/Women-clothing-Kenya-East-Africa.jpg: 0.009574
imagenes_512/RealArt/tiger-full-width.jpg.thumb.1160.1160.jpg: 0.004160
imagenes_512/RealArt/Coyote-animal-sentience-research.jpg: 0.001772
imagenes_512/RealArt/picasso-femme-a-la-montre-1932-2-654d363e6a607.jpg: 0.005240
imagenes_512/RealArt/2g24m0k80001000.jpg: 0.002248
imagenes_512/RealArt/24mag-animal-illo-facebookJumbo-v19.jpg: 0.003215
imagenes_512/RealArt/6c12fdc402726c513901a61f512ba3c6.jpg: 0.003184
imagenes_512/RealArt/impressive-summer-sunrise-scenery-background-nature-sea-ocean_743855-17494.jpg: 0.002609
imagenes_512/RealArt/First-image_Fb-size_grande.jpg: 0.003283
imagenes_512/RealArt/Jackson-Kania-Montgomery-proximate-leaders-change-592x333.jpg: 0.004548
imagenes_512/RealArt/portrait-young-beautiful-woman-perfect-600nw-2228044151.jpg: 0.002498
imagenes_512/RealArt/People_heroXBD201909-00859018.jpg: 0.004104
imagenes_512/RealArt/99050588b2b7c5aaa581c808c1b687c6.jpg: 0.000833
imagenes_512/RealArt/Untitled-design-2022-09-06T133056.012.jpg: 0.006697
imagenes_512/RealArt/About-the-People-living-with-HIV-Stigma-Index.jpg: 0.003522
imagenes_512/RealArt/pexels-photo-5091121.jpg: 0.001494
imagenes_512/RealArt/Javan_rhino_Ujung_Kulon_NP.jpg: 0.002116
imagenes_512/RealArt/3-x-3-template-newi.jpg: 0.003338
imagenes_512/RealArt/il_570xN.3757074450_o5mt.jpg: 0.009275
imagenes_512/RealArt/contemporary-realism-portrait-painting-Stanley-Rayfield-artist-Churchhatnew-scaled.jpg: 0.002030
imagenes_512/RealArt/images56.jpg: 0.002316
imagenes_512/RealArt/file-20231005-16-1flnlj.jpg: 0.001496
imagenes_512/RealArt/iStock-1326443525.2e16d0ba.fill-950x535.jpg: 0.003320
imagenes_512/RealArt/pexels-photo-620337.jpg: 0.003084
imagenes_512/RealArt/HEADER-Best-Love-Paintings-Ever-Painted_1024x1024.jpg: 0.005392
imagenes_512/RealArt/Cheetah-wildlife-hero.jpg: 0.002141
imagenes_512/RealArt/african-spurred-tortoise-web-image-300x200.jpg: 0.000996
imagenes_512/RealArt/power-to-the-people_en.pdf_0.jpg: 0.004706
imagenes_512/RealArt/9499928367_bf1abd7bf2_z.jpg: 0.002007
imagenes_512/RealArt/Screenshot-2023-06-12-at-18.36.47.jpg: 0.007547
imagenes_512/RealArt/360_F_340509733_5MwYU9THVvHgCBuYKZIC8nm5vIoM0dEv.jpg: 0.005908
imagenes_512/RealArt/Black-and-White-Portrait-3.jpg: 0.004352
imagenes_512/RealArt/shutterstock_243101992.jpg: 0.001190
imagenes_512/RealArt/4-23-4-22-8-4-13m.jpg: 0.005780
imagenes_512/RealArt/images4.jpg: 0.002248
imagenes_512/RealArt/young-girl-holding-chaffinch-upton-house-1336611.jpg: 0.004310
imagenes_512/RealArt/20200204-Influential-51_camera-press.jpg: 0.003886
imagenes_512/RealArt/images9.jpg: 0.003332
imagenes_512/RealArt/lindsey-pattison_october-2023_hero.jpg: 0.003591
imagenes_512/RealArt/fox-937049_1920.jpg: 0.000400
imagenes_512/RealArt/maxresdefault.jpg: 0.014840
imagenes_512/RealArt/cat-with-ducklings.jpg: 0.004130
imagenes_512/RealArt/getty_517194189_373099.jpg: 0.001566
imagenes_512/RealArt/beautiful-scenery-in-autumn-season-illustration-ai-generative-free-free-photo.jpg: 0.004734
imagenes_512/RealArt/4a092cb31ce8d11f8ca53137d86c276f.jpg: 0.007367
imagenes_512/RealArt/unknown-artist-mountain-landscapes-oil-on-card-paintings-set-of-2-8.jpg: 0.003265
imagenes_512/RealArt/capy1.jpg: 0.006768
imagenes_512/RealArt/images53.jpg: 0.003096
imagenes_512/RealArt/Portrait197a-1280x640.jpg: 0.000713
imagenes_512/RealArt/-Skills-Promo-A-Total-Artist-All-of-North-Wests-Impressive-Drawings-Photos-5.jpg: 0.005393
imagenes_512/RealArt/ways-to-take-stunning-portraits-3.jpg: 0.000618
imagenes_512/RealArt/CB2953EN_img7.jpg: 0.011132
imagenes_512/RealArt/daniel-norton-portrait-photography-CLOSE.jpg: 0.001566
imagenes_512/RealArt/images.jpg: 0.005127
imagenes_512/RealArt/famous-hispanic-people-america-ferrera-64aee223e68b1.jpg: 0.003046
imagenes_512/RealArt/pleaser.jpg: 0.001293
imagenes_512/RealArt/26713309_web1_M-Rob-Schouten-edh-211007.jpg: 0.008345
imagenes_512/RealArt/360_F_482153924_Jc1kuY4feaYUYo5p9tDlzww9OeoGguG4.jpg: 0.007440
imagenes_512/RealArt/fe9d1f1322c456403839aef00b20126d.jpg: 0.001298
imagenes_512/RealArt/portrait-smiling-middle-aged-african-260nw-2088822202.jpg: 0.003391
imagenes_512/RealArt/GettyImages-514622028-1200px.jpg: 0.004852
imagenes_512/RealArt/image12.jpg: 0.007098
imagenes_512/RealArt/LARAJADE_SELFPORTRAIT.jpg: 0.001010
imagenes_512/RealArt/05-12-21-happy-people.jpg: 0.002896
